year,sampleId,farmName,farmer,farmerId,fieldName,fieldId,county,crop,texture,bd_g.cm3,pmN_lbs.ac,ammN_mg.kg,nitrateN_mg.kg,pmN_mg.kg,poxC_mg.kg,pH,EC_mmhos.cm,K_mg.kg,Ca_mg.kg,Mg_mg.kg,Na_mg.kg,CEC_meq.100g,B_mg.kg,Cu_mg.kg,Fe_mg.kg,Mn_mg.kg,S_mg.kg,Zn_mg.kg,totalC_%,totalN_%,ace_g.protein.kg.soil,sand_%,silt_%,clay_%,96hrminC_mgC.kg.day,wsa_%,OM_%,TOC_%,WHC_in.ft,longitude,latitude
2022,22-TNM05-01,Farm 001,Sahar,TNM05,Field 01,1,County 1,Vegetable,Clay Loam,1.09,298.17,29.9,6.6,100.4,786,5.7,0.44,294,1360,157.3,27.6,15.5,0.42,1.2,86,19.9,28.49,3.3,6.46,0.33,10.82,29,36,35,93.2,95.5,8.5,6.46,1.69,-122,46
2023,23-XMT07-02,Farm 109,Amal,XMT07,Field 02,2,County 14,CRP/Conservation,Loam,1.23,-10,2.8,2.8,-3,392,6.2,0.44,284,1920,399.3,71.3,12.7,0.31,1.6,99,20.5,8.88,0.8,1.46,0.11,6.16,38,44,18,51.8,87.3,3.1,1.46,1.79,-117,47
2023,23-PRK03-03,Farm 043,Christopher,PRK03,Field 03,3,County 9,"Pasture, Seeded",Loamy Sand,1.2,122.93,3,5.7,37.8,795,7.5,0.73,95,3440,314.6,25.3,11.7,0.49,1,40,2.5,7.44,0.9,2.67,0.23,7.1,78,16,6,109.1,96,7.5,2.53,0.87,-120,48
2022,22-EHJ01-01,Farm 038,Aileen,EHJ01,Field 01,1,County 8,Vegetable,Loamy Sand,1.04,27.69,8.8,0.3,9.8,530,4.9,0.05,90,420,84.7,25.3,12.1,0.14,0.7,75,29.3,10.93,2.7,4.73,0.16,20.75,82,15,3,90,96.4,10.7,4.73,0.8,-123,47
2023,23-CKJ01-02,Farm 146,Dylan,CKJ01,Field 02,2,County 15,Cereal Grain,Silt Loam,1.11,50.11,28.3,22.3,16.6,291,5.4,0.57,647,1480,169.4,39.1,13.8,0.25,1.1,61,12.2,10.4,0.6,1.28,0.13,4.56,27,62,11,47.3,83.5,4,1.28,2.24,-118,48
2023,23-VQC06-01,Farm 178,Allison,VQC06,Field 01,1,County 14,"Pasture, Seeded",Loam,1.3,36.77,4.1,4.1,10.4,270,6.6,0.29,440,2160,435.6,29.9,14.7,0.31,0.9,49,6.6,3.24,0.9,1.28,0.12,4.28,42,44,14,23.6,88.2,2.5,1.28,1.75,-118,47
2022,22-LJP05-01,Farm 077,Fernando,LJP05,Field 01,1,County 17,Fallow,Sandy Loam,1.3,0.35,4.5,1.3,0.1,147,5.6,0.36,122,400,36.3,13.8,6.3,0.06,0.2,16,1.8,6.7,0.2,0.91,0.07,6.7,70,25,5,51,82,1.8,0.91,1.09,-118,48
2022,22-IOX04-02,Farm 060,Alisa,IOX04,Field 02,2,County 13,Herb,Clay Loam,1.13,245.95,12.2,57.2,80.3,639,7.4,2.94,1179,3860,1076.9,207,17.7,1.06,1.5,24,7.5,135.28,3,2.13,0.2,2.47,27,46,27,25.5,95.7,4.2,1.96,1.88,-121,46
2022,22-ZPJ03-04,Farm 013,Timmie,ZPJ03,Field 04,4,County 3,Vegetable,Sandy Loam,1.02,12.18,4.4,11.9,4.4,278,6.1,0.83,290,1540,242,34.5,9.1,0.31,1.2,24,3.3,24.21,1.7,0.6,0.07,4.82,54,38,8,11.3,80.1,1.3,0.6,1.5,-119,47
2022,22-GWT01-09,Farm 014,Coramarie,GWT01,Field 09,9,County 4,Vegetable,Clay Loam,0.61,1.17,10.3,64.5,0.7,597,5.7,1.53,247,1900,350.9,32.2,13.9,0.45,1.1,199,7.9,21.3,10.5,3.7,0.33,9.26,30,42,28,72,91.6,7.2,3.7,1.8,-123,48
2023,23-KCC03-01,Farm 152,Alejandra,KCC03,Field 01,1,County 10,"Pasture, Seeded",Loam,1.07,95.86,6.2,6.2,32.9,415,6.2,0.26,384,1140,96.8,20.7,9.7,0.21,0.4,50,3.2,4.56,0.6,1.88,0.15,5.17,50,42,8,57.7,88.8,3.4,1.88,1.62,-117,48
2022,22-VTR04-02,Farm 045,Destiny,VTR04,Field 02,2,County 10,Hay/Silage,Silt Loam,1.11,85.63,4.3,3.2,28.3,592,5.6,0.6,70,2040,508.2,66.7,17.6,0.25,2.2,303,7.1,13.18,2.2,2.19,0.2,4,12,65,23,11.8,89.1,3.9,2.19,2.33,-117,48
2023,23-TDP05-03,Farm 144,Bradley,TDP05,Field 03,3,County 15,Oilseed,Silt Loam,1.24,79.22,3.8,12.9,23.5,217,7.3,0.65,400,1460,314.6,287.5,11.9,0.33,0.9,17,3,5.72,1.8,0.97,0.12,4.08,21,67,12,27.5,93.2,2.1,0.94,2.39,-119,48
2023,23-OLV08-01,Farm 123,Chelsea,OLV08,Field 01,1,County 21,Native Land,Sandy Loam,1.14,273.62,3,17.4,87.9,826,6.3,0.47,270,2760,399.3,16.1,16.4,0.38,0.6,62,3.3,4.82,1.5,4.83,0.38,6.7,68,26,6,85.7,89.3,6.9,4.83,1.14,-119,49
2022,22-QCJ09-03,Farm 035,Brianna,QCJ09,Field 03,3,County 8,"Pasture, Seeded",Loam,1.18,180.7,26.8,8.2,56.4,397,5.4,0.47,123,600,84.7,25.3,12.2,0.15,0.7,81,16.8,16.57,0.9,3.22,0.17,10.02,44,42,14,97.5,96.8,5.7,3.22,1.7,-123,47
2022,22-UPD03-01,Farm 070,Faith,UPD03,Field 01,1,County 14,Vegetable,Silt Loam,1.24,136.74,9.2,9,40.6,340,6.7,0.88,340,3060,411.4,18.4,17,0.3,1.6,57,10,9.86,0.9,1.91,0.15,5.75,17,61,22,30.6,89.8,3.5,1.91,2.23,-117,47
2023,23-NOK04-03,Farm 181,Neil,NOK04,Field 03,3,County 13,Orchard,Silt Loam,1.22,97.34,5.1,2.3,29.4,364,7.8,0.42,147,3920,375.1,34.5,14.9,0.32,15.4,26,3.9,6.96,26.4,1.17,0.12,1.94,29,62,9,50.1,86.9,2.4,0.93,2.22,-120,46
2022,22-LJP05-03,Farm 077,Fernando,LJP05,Field 03,3,County 17,"Pasture, Seeded",Sandy Loam,1.33,33.34,5.5,0.5,9.2,235,5.8,0.39,88,760,133.1,39.1,7.4,0.12,0.5,70,5.5,1.07,0.6,1.03,0.09,10,66,26,8,65.3,96.3,2.1,1.03,1.17,-118,48
